asin,category,rank,product_name,price,rating,review_count
B092J8LPWR,electronics,41,"Surge Protector Power Strip - HANYCONY 8 Outlets 4 USB (2 USB C) Charging Ports, Multi Plug Outlet Extender, 5Ft Braided Extension Cord, Flat Plug Wall Mount Desk Charging Station for Home Office ETL",12.99,4.8,66395
B0CXGXT6W8,electronics,42,"JLab Go Air Pop+ True Wireless Earbuds, in Ear Headphones, Bluetooth Earphones, 35H Playtime Ear Buds, Bluetooth Earbuds with Microphone, USB-C Charging Case, Dual Connect, EQ3 Sound, Black",24.88,4.5,6102
B0DFWRY3KQ,electronics,43,"4 Pairs Replacement Ear Tips for AirPods Pro 2nd/1st Generation with Portable Storage Box & Cleaner Pen,Noise Reduction Holewith & Built-in dust Guard Screen,Silicone EarTips(White)",6.98,4.5,4732
B0GR6FHGXX,electronics,44,"Apple 2026 MacBook Neo 13-inch Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Indigo",589,4.7,333
B01KBEOL5E,electronics,45,"Amazon Basics Full Motion Articulating TV Wall Mount, with Swivel and Tilt, for 26"" to 55"" TVs and Flat Panels up to 80 Lbs, VESA Compatible, Single Stud, Black",17.94,4.6,57110
B0BLTYNJCK,electronics,46,"TESSAN Surge Protector Power Strip, 5 Ft Flat Plug Extension Cord with 3 USB (1 USB C) 8 Outlets, 1250W, 900J Protection, 3 Sided Outlet Extender with Power Switch for Office, Dorm Room, Grey",22.99,4.8,13561
B0D63657GY,electronics,47,"Life360 Tile - Bluetooth Tracker, Keys Finder and Item Locator for Keys, Bags and More. Phone Finder. Both iOS and Android Compatible. 1-Pack (Black)",19.99,4.4,13850
B0B1N7LJD3,electronics,48,"Blink Outdoor 4 – Wireless smart security camera, two-year battery life, two-way talk. Required Sync Module not included – Add-on camera",37.99,4.2,27129
B0CSXV3GK4,electronics,49,"Wireless Earbuds 75hrs Bluetooth 5.4 Headphone Sport, 2026 Bluetooth Earbuds Stereo Deep Bass Over Ear Bud with Earhooks, ENC Noise Cancelling Mic, IPX7 Waterproof Earphone for Gym/Running/Workout",25.99,4.3,27356
B09FLNSYDZ,electronics,50,"bmani Ear Buds Wireless Earbuds Bluetooth Headphones with 80H Playtime LED Display Case, Over-Ear Hook with Mic, Stereo Sound, Easy Button Controls, Sports Earphones for Running Workout Gym Black",24.67,4.4,53827
B06X6J5266,grocery,1,"CELSIUS Assorted Flavors Official Variety Pack, Functional Essential Energy Drinks, 12 Fl Oz (Pack of 12)",19.99,4.6,27217
B01N05APQY,grocery,2,"Nespresso Capsules Vertuo, Variety Pack, Medium and Dark Roast Coffee, 30 Count Coffee Pods, Brews 7.8 oz.",42,4.8,66904
B07MVM3Y4M,grocery,55,"Gatorade Zero Sugar Thirst Quencher Sports Drinks, Lemon-Lime, 20 Ounce Bottles (Pack of 8)",6.98,4.8,2123
B0BL7316GD,grocery,4,"Monster Energy Zero Ultra, Sugar Free Energy Drink, 16 Ounce | Pack of 15",27.48,4.7,34859
B008JGIZGS,grocery,5,"Premier Protein Shake, Chocolate, 30g Protein, No Added Sugar, 24 Vitamins & Minerals to Support Immune Health, 11 fl oz, 12 Pack",26.74,4.7,6991
B07MJL8NXR,grocery,6,"Premier Protein Shake, Chocolate, 30g Protein, No Added Sugar, 24 Vitamins & Minerals to Support Immune Health, 11.5 fl oz, 12 Pack",31.98,4.6,59223
B003P02EGU,grocery,7,"Sparkling Ice, Black Raspberry Sparkling Water, Zero Sugar Flavored Water, with Vitamins and Antioxidants, Low Calorie Beverage, 17 fl oz Bottles (Pack of 12)",12,4.7,27498
B01DDIRDZA,grocery,8,"Core Power Elite High Protein Shake, Chocolate, 42g Bottle, 14oz, 12 Pack",50.98,4.6,24384
B0849N8W1M,grocery,9,"DaVinci Gourmet Classic Blue Raspberry, 25.4 Fluid Ounces (Pack of 1)",7.99,4.4,29806
B0DFNM6NVQ,grocery,10,"Bloom Nutrition Sparkling Energy Drink - Variety Pack - Natural Caffeine, Zero Sugar, 180mg Caffeine - Antioxidant-Rich with Green Coffee Bean, Green Tea Extract, Prebiotics - 12oz 12 Pack",22.41,4.7,2814
B006H7YDU8,grocery,56,"Starbucks K-Cup Coffee Pods, Dark Roast Hot or Iced Coffee, French Roast, 96 Keurig Pods",63.97,4.7,23600
B000T9WLUY,grocery,12,"Diet Coke Soda Soft Drink Cans, 12 fl oz, 12 Pack",8.42,4.5,18447
B00ARABK20,grocery,13,"PUR Gum | Aspartame Free Chewing Gum | 100% Xylitol | Natural Spearmint Flavored Gum, 55 Pieces (Pack of 1)",4.49,4.5,29365
B0936GLRVN,grocery,57,"Starbucks Ground Coffee, Dark Roast Coffee, Italian Roast, 100% Arabica, 1 bag (18 oz)",9.63,4.6,2898
B002U58PRI,grocery,15,"Propel, Kiwi Strawberry, Zero Calorie Sports Drinking Water with Electrolytes and Vitamins C&E, 16.9 Fl Oz (12 Count)",9.97,4.7,22241
B0BWSKYV63,grocery,58,"Welch's Fruit Snacks, Mixed Fruit, Bulk Pack, Individual Single Serve Bags, 0.8 oz (Pack of 40)",7.78,4.8,21010
B076H6F974,grocery,17,"Frito-Lay Fun Times Mix Variety Pack, 2.37 Pounds, (Pack of 40)",22.43,4.6,34579
B005HG9ESG,grocery,18,"Essentia Ionized Alkaline Water, 9.5 Ph Until Opened, 99.9% Pure, Bottled Water, 12Pk",19.95,4.8,72858
B07LD2NV9X,grocery,19,"Core Power Protein Shake, Chocolate, 26g Bottle, 14oz, 12 Pack",45.59,4.7,24713
B0BL756S36,grocery,20,"Monster Rehab Tea + Lemonade + Energy, Energy Drink 15.5 Ounce | Energy Iced Tea, Pack of 15",29.98,4.7,1671
B01GQ5GQEG,grocery,21,"Goldfish Crackers Big Smiles Variety Pack with Cheddar, Colors, and Pretzels, Snack Packs, 30 Ct",12.86,4.8,64901
B01E6WOVX4,grocery,22,"Hint Infused Bottled, Best Sellers Variety Pack - Sugar Free Flavored with Zero Calories, Natural Essences, and No Artificial Sweeteners - 16 Fl Oz (Pack of 12)",13.46,4.3,33331
B07NYQ6ML7,grocery,23,"Amazon Brand - Happy Belly Dark Roast Coffee Pods, Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",35.26,4.4,17742
B0CYDXTF5J,grocery,24,"Alani Nu PINK SLUSH, Sugar Free, Low Calorie Energy Drinks, 200mg Caffeine, Biotin, B Vitamins, Zero Sugar, 10 Calories, 12 Fl Oz Cans, 12 Pack",19.98,4.7,1347
B01N7QS7JU,grocery,25,"Lance Sandwich Crackers, Variety Pack, 3 Flavors, 20 Individually Wrapped Packs, 6 Sandwiches Each",6.87,4.6,14697
B0BZJVFFNM,grocery,26,"Nespresso Capsules Vertuo, Barista Flavored Pack, Medium Roast Coffee, 30 Count Coffee Pods, Brews 7.8oz.",42,4.7,8535
B0DF1L929C,grocery,27,"GHOST Energy Drink - 12-Pack, Welch's Grape, 16oz Cans - Energy & Focus & No Artificial Colors - 200mg of Natural Caffeine, L-Carnitine & Taurine - Gluten-Free & Vegan",29.99,4.6,13539
B09FXVQ8WN,grocery,28,C4 Performance Energy Drink | Strawberry Blast | Zero Sugar Carbonated Preworkout Energy | 200mg Caffeine with Beta Alanine | 16 Fl Oz (12 Pack),19.98,4.6,6549
B0D17X879B,grocery,29,"Pure Life Purified Water Bottles, 12 Pack - Still Bottled Water Enhanced with Minerals for a Crisp Taste, Plastic Bottles - 16.9 Fl oz",3.96,4.8,53569
B07P5TVX2R,grocery,60,"Sparkling Ice Caffeine Black Raspberry Sparkling Water with Caffeine, Zero Sugar, with Antioxidants and Vitamins,16 fl oz Cans (Pack Of 12)",13.68,4.7,15193
B008JA73RG,grocery,31,"V8 Energy Peach Mango Energy Drink, 8 fl oz Can (24 Pack)",17.96,4.7,17843
B001NI0MQ0,grocery,32,"Extra Gum Spearmint Sugarfree Gum Bulk, Individually Wrapped, Perfect for Long Lasting Fresh Breath at School, Work & Travel 15 Count, Pack of 10",12.28,4.8,18663
B004CQWWKY,grocery,33,"FIJI Artesian Bottled Water, 500 mL (16.9 fl oz), Pack of 24",21.98,4.7,77553
B00091S3K4,grocery,34,"Pure Life Purified Water Bottles, 24 Pack - Still Bottled Water Enhanced with Minerals for a Crisp Taste, Plastic Bottles - 8 Fl Oz",4.99,4.7,26700
B002RSRURY,grocery,35,"CELSIUS On-The-Go Powder Stick Packs, Zero Sugar (14 Sticks per Pack), Berry, 2.5 Ounce",11.34,4.7,6891
B009GDBNF8,grocery,61,"Starbucks K-Cup Coffee Pods, Medium Roast Hot or Iced Coffee, Pike Place Roast, 96 Keurig Pods ​",63.97,4.7,34184
B0CS12LZLS,grocery,62,"Nescaf√Â Gold Espresso Blonde, Instant Coffee, 3.5 Oz",9.97,4.8,6391
B0F1GCBNYQ,grocery,38,"Red Bull Peach Edition Energy Drink, White Peach, 12 fl. oz., 24 cans, with 114mg Caffeine, Taurine & B Vitamins",49.97,4.8,727
B07Y7H3FHB,grocery,39,"IQBAR Clean Plant Protein Bars - Chocolate Lovers Variety - 12 Count - Keto, Vegan, High Fiber, Gluten and Dairy Free, Low Sugar Snack - Brain and Body Nutrients for Focus, Energy, Meal Replacement",24.99,4.3,7974
B09C7QXQRG,grocery,40,"Waterloo Sparkling Water, Blackberry Lemonade Naturally Flavored, 12 Fl Oz Cans (Pack of 12) – Zero Calories and Zero Sugar or Sweeteners",6.66,4.4,2527
B0DBJ8W23Y,grocery,41,"Torani Coffee Syrup, Vanilla Flavored Syrup for Drinks, Pump Included, 25.4 Fl Oz",14.99,4.7,1504
B01BKBWCDU,grocery,64,"POWERADE Electrolyte Enhanced Zero Sugar Grape Sports Drink, 20 Ounce (Pack of 8)",6.48,4.7,3680
B0DPXW56FL,grocery,43,"Liquid Death Soda-Flavored Sparkling Water - Doctor Death (Cherry, Cream, Spice), Less Sugar*, Huge Flavor, No Caffeine, No Artificial Sweeteners, 12 Fl Oz (Pack of 12)",13.94,4.5,798
B01N2KFHRS,grocery,44,"Peet's Coffee, Dark Roast Keurig K-Cup Pods, 100% Arabica Coffee - Major Dickason's Blend 75 Count (1 Box of 75 Pods)",45.28,4.8,45150
B0178ENI4K,grocery,45,"ALOHA Organic Plant Based Protein Bars |Peanut Butter Chocolate Chip | 1.98 Oz (Pack of 12) | Vegan, Low Sugar, Gluten Free, Paleo, Low Carb, Non-GMO, Stevia Free, Soy Free, No Sugar Alcohols",22.88,4.5,8250
B002N3NRIO,grocery,46,"La Croix Sparkling Water, Pure, 12 Fl Oz (pack of 12)",6.63,4.7,3805
B003PFPFIE,grocery,51,"Red Bull Energy Drink with 80mg Caffeine plus Taurine & B Vitamins, 8.4 Fl Oz, Pack of 24 Cans",34.98,4.7,43080
B000SDKDM4,grocery,65,"Lavazza Super Crema Whole Bean Coffee, Medium Espresso Roast, Arabica and Robusta Blend, 2.2 lb Bag, Package May Vary (Pack of 1)",26.99,4.5,39612
B0CP9WPRYX,grocery,53,"Bai Flavors Variety Pack, Antioxidant Infused Water Beverage, with Vitamin C and No Artificial Sweeteners, 18 fl oz bottles, 12 pack | Antioxidant Infused, with Vitamin C",12,4.6,1794
B00451SGZ6,grocery,54,"Nestle Coffee mate Coffee Creamer, Original, Liquid Creamer Singles, Non Dairy, No Refrigeration, 0.375 fl oz Tubs (Pack of 180)",15.99,4.6,57141
B085V5PPP8,health,51,"Tide Laundry Detergent Liquid, Original Scent, 64 Loads, 80 FL OZ, Works on 100% of Common Stains, Laundry Soap, Liquid Laundry Detergent",12.97,4.8,69207
B095KCG1Q2,health,52,"Amazon Basics Adult Wet Wipes Flushable formulated without Fragrance, 126 Count (3 Packs of 42) Packaging May Vary",4.76,4.5,49705
B000VCFB0G,health,53,"Bounty Paper Napkins, White, 200 Count, Packaging may vary",3.48,4.8,39122
B0739KKHWL,health,54,"Nordic Naturals Ultimate Omega, Lemon Flavor - 90 Soft Gels - 1280 mg Omega-3 - High-Potency Omega-3 Fish Oil Supplement with EPA & DHA - Promotes Brain & Heart Health - Non-GMO - 45 Servings",33.3,4.7,58439
B009108SGS,health,55,"Duracell 2032 Lithium Battery, 4 Count (Pack of 1), Child Safety Features, Compatible with Key Fob, Tea Light Candles and Other Devices, CR2032 Battery",4.39,4.8,96195
B09F8FZ18G,health,56,"Crest 3D White Advanced, Teeth Whitening Toothpaste for Adults, 3.7 oz, 4 Pack, Cavity Protection Fluoride Toothpaste, Strengthens Enamel, Travel Size Toiletries",14.99,4.8,29000
B0CF3BDBL2,health,57,"Windex Glass and Window Cleaner Spray Bottle, Packaging Designed to Prevent Leakage and Breaking, Surface Cleaning Spray, Original Blue Scent, 23 Fl Oz",3.43,4.8,13349
B00TSTZQEY,health,58,"Majestic Pure Essential Oil with Glass Dropper - 100% Pure and Natural - Essential Oils for Diffuser, Aromatherapy, Soap and Candle Making, Lavender Essential Oil, Lavender Oil, 4 Fl Oz",9.99,4.5,38093
B07978VPPH,health,59,THORNE Creatine - Micronized Creatine Monohydrate Powder - Support for Muscles & Cognitive Function* - for Women & Men - Unflavored - NSF Certified for Sport - 5 g per Serving - 90 Servings,44,4.7,16257
B00K6JUG4K,health,60,"Vital Proteins Collagen Peptides Powder Advanced with Hyaluronic Acid & Vitamin C, 20oz Collagen Protein, Unflavored, 27 Servings",42.99,4.5,213843
B093CKHPKK,health,61,"Scott 1000 Trusted Clean Toilet Paper, 32 Rolls, Septic-Safe, 1-Ply Toilet Tissue",32.99,4.7,67711
B09M6JWHV5,health,62,"Kleenex Ultra Soft Facial Tissues, 3 Flat Boxes, 120 Tissues per Box, 3-Ply (360 Total), Packaging May Vary",5.99,4.8,115183
B00QIT9NDW,health,63,"Lysol All Purpose Cleaner Spray, Multi-Purpose Disinfecting Spray, Kitchen & Bathroom Cleaner, Lemon Breeze Scent, 32 Fl Oz",4.27,4.8,34420
B01HI7WP0U,health,64,"Tylenol Extra Strength Acetaminophen Rapid Release Gels, Fast, Strong Pain Relief, Fever Reducer, 500 mg Gelcaps with Laser‑Drilled Holes for Fast Release, OTC Medicine, 100 Count",12.47,4.8,87216
B00GB85JR4,health,65,"NatureWise Vitamin D3 5000iu (125 mcg) 1 Year Supply for Immune Support, Healthy Muscle Function, and Bone Health - Non-GMO, Gluten Free in Organic Extra Virgin Olive Oil, (Mini Softgel), 360 Count",14.99,4.7,192650
B00W5D1MDE,health,66,"Clorox Toilet Bowl Cleaner Clinging Bleach Gel, Kills 99.9% of Bacteria and Viruses, Ocean Mist, 24 Fl Oz, Pack of 2",5.24,4.8,41096
B093WMWKBP,health,67,"Amazon Basics Reclosable Gallon Food Storage Bags with Double Zipper Seal, Stand and Fill Base, BPA Free, 120 Count",9.92,4.6,25465
B099BWGZBP,health,68,"Dixie Ultra, Large Paper Plates, 10 Inch, 172 Count (4 packs of 43 plates), 3X Stronger*, Heavy Duty, Microwave-Safe, Soak-Proof, Cut Resistant, Disposable Plates For Heavy, Messy Meals",23.08,4.8,37112
B095562DZX,health,69,"Depend Fresh Protection Adult Diapers, Incontinence Underwear for Men, Disposable, Maximum, Large, Grey, 72 Count (2 Packs of 36), Packaging May Vary",52.96,4.5,31087
B07DX89ZHN,health,70,Sports Research® Omega-3 Fish Oil 1250 - Triple Strength Fish Oil Supplement from Wild Alaska Pollock - MSC Certified Sustainable · Non-GMO · Soy Free - 90 Softgel Capsules,27.95,4.7,59289
B07CDN39DP,health,71,"LUMIFY Eye Drops for Red Eyes, Redness Reliever for Brighter Looking Eyes, Works in 1 Minute & Lasts Up to 8 Hours, Eye Drops, 0.08 Fl Oz (2.5 mL)",11.93,4.6,41043
B00IRKRK9O,health,72,"TheraBreath Fresh Breath Mouthwash, Icy Mint Flavor, Alcohol-Free, 16 Fl Oz (Pack of 2)",13.98,4.8,52498
B09YKRZR22,health,73,"Puffs Plus Lotion Facial Tissues, 8 Family Boxes, 124 Facial Tissues per Box, Allergies and Colds",12.74,4.8,34788
B074F145Y1,health,74,"Amazon Basic Care All Day Allergy, Cetirizine Hydrochloride Tablets, 10 mg, 24-Hour Relief for Allergy, 300 Count (Packaging may vary)",9.76,4.7,69749
B07255MPRN,health,75,Sports Research® Vitamin D3 + K2 w/ Coconut Oil - Vegan Vitamin D 5000iu & Mk7 Vitamin K 100mcg for Bone & Immune Support - Vegan Certified · Non-GMO · Soy Free - 60 Softgels,23.95,4.7,52345
B07T9MBNTT,health,76,"Glad Tall Kitchen Drawstring Trash Bags - Odorshield 13 Gallon White Trash Bag, Febreze Fresh Clean, 110 Count",19.97,4.7,61721
B01N6BP63M,health,77,"Lysol Laundry Sanitizer Additive, Bacteria-Causing Laundry Odor Eliminator, Detergent Additive, Crisp Linen, 90oz",12.97,4.8,111606
B08FGZSW8L,health,78,"WEEM Hair Skin and Nails Gummies - Supports Healthy Hair - Vegan biotin Vitamins for Women & Men Supports Faster Hair Growth, Stronger Nails, Healthy Skin, Extra Strength (1)",34.45,4.4,26199
B0FZC2FVKW,health,79,"Resilia Softgels with Black Seed Oil 6000mg – Organic Oregano Oil Capsules for Immune & Digestive Support – Non-GMO, Gluten-Free Softgels – Natural Herbal Wellness Supplement (60 Count)",24.99,4.3,6830
B085V5ZMV9,health,80,"Tide Free & Gentle Liquid Laundry Detergent, 64 Loads, 84 fl oz, Tide Laundry Detergent, Clean Laundry Detergent",12.97,4.8,32788
B074F297T8,health,81,"Basic Care Ibuprofen Tablets, 500 Count",9.59,4.8,94787
B082F1QH7S,health,82,"Colgate Optic White Advanced Hydrogen Peroxide Toothpaste, Teeth Whitening Toothpaste Pack, Enamel-Safe Formula, Helps Remove Tea, Coffee, and Wine Stains, Sparkling White, 3 Pack, 3.2 oz",11.46,4.7,49272
B0CWS5QP8F,health,83,MARYRUTH'S Liquid Multivitamin+Hair Growth | Biotin 10000mcg | Lustriva Hair Growth Supplement | Clinically Tested in Women for Thicker Hair&Facial Wrinkle | Skin Care | Ages 18+ | 15.22 Fl Oz,28.43,4.5,18149
B0FX5KH3FZ,health,84,"Mr. Clean Magic Eraser Shower & Tub Scrubber, Bathroom Cleaner, All in One Bathroom Cleaner, Lemon Starter Kit, 1 Scrubber & 2 Foaming Magic Erasers",12.94,4.2,1911
B0FSGHP1FC,health,85,"RYZE SUPERFOODS Mushroom Medium Roast Coffee USDA Organic with 6 Adaptogenic Mushrooms, USA Grown Instant Coffee for Better Energy, Focus Digestion Immunity with Lions Mane & Turkey Tail 30 Servings",44.99,4.4,4445
B0791Y2LMB,health,86,"Ensure Max Protein Shake | Milk Chocolate | Ready to Drink | 30g Protein for Muscle Health | 1g Sugar, 4g Fiber | 11 fl oz, 12 Pack",27.97,4.6,19756
B07RRRV5CT,health,87,"Quest Nutrition Nacho Cheese Tortilla Style Protein Chips, 18g Protein, 4g Net Carb, Low Carb, Gluten Free, 1.1 oz (Pack of 12)",28.44,4.5,24567
B085YL4HR7,health,88,"Plackers® Micro Line® Floss Picks - Intense Mint, Floss Fiber Made Without PTFE, 300 Count",6.88,4.7,81518
